x y y
10000  1780   3103.26
20000  4234   6206.52
30000  6557   9309.78
40000  11619  12413.04
50000  14220  15516.3
60000  17106  18619.56
70000  20355  21722.82
80000  22462  24826.08
90000  25030  27929.34
100000 27187  31032.6
110000 29978  34135.86
120000 33373  37239.12
130000 34765  40342.38
140000 37582  43445.64
150000 41017  46548.9
160000 44364  49652.16
170000 45152  52755.42
180000 48187  55858.68
190000 51194  58961.94
200000 54002  62065.2
210000 55934  65168.46
220000 61129  68271.72
230000 61936  71374.98
240000 66946  74478.24
250000 68780  77581.5
260000 70111  80684.76
270000 72811  83788.02
280000 77762  86891.28
290000 81462  89994.54
300000 81200  93097.8
310000 83882  96201.06
320000 88296  99304.32
330000 89910  102407.58
340000 97622  105510.84
350000 98493  108614.1
360000 105374 111717.36
370000 100641 114820.62
380000 106174 117923.88
390000 109079 121027.14
400000 111377 124130.4
410000 113091 127233.66
420000 114842 130336.92
430000 121426 133440.18
440000 123380 136543.44
450000 126671 139646.7
460000 128470 142749.96
470000 134953 145853.22
480000 137345 148956.48
490000 135141 152059.74
500000 138813 155163
