x y y
10000  1350  2258.016
20000  2824  4516.032
30000  4535  6774.048
40000  6681  9032.064
50000  8493  11290.08
60000  9884  13548.096
70000  13362 15806.112
80000  14933 18064.128
90000  15964 20322.144
100000 18008 22580.16
110000 21076 24838.176
120000 21481 27096.192
130000 23187 29354.208
140000 25080 31612.224
150000 27477 33870.24
160000 28654 36128.256
170000 30557 38386.272
180000 31929 40644.288
190000 33801 42902.304
200000 35171 45160.32
210000 36899 47418.336
220000 38988 49676.352
230000 40246 51934.368
240000 43125 54192.384
250000 45136 56450.4
260000 46717 58708.416
270000 48371 60966.432
280000 50129 63224.448
290000 51809 65482.464
300000 53722 67740.48
310000 55486 69998.496
320000 58030 72256.512
330000 59139 74514.528
340000 61253 76772.544
350000 63106 79030.56
360000 64352 81288.576
370000 67084 83546.592
380000 68973 85804.608
390000 70137 88062.624
400000 72085 90320.64
410000 75174 92578.656
420000 77638 94836.672
430000 79813 97094.688
440000 80120 99352.704
450000 82657 101610.72
460000 83607 103868.736
470000 85558 106126.752
480000 88043 108384.768
490000 90513 110642.784
500000 92218 112900.8
